,0
0,аппарат правительства
1,совет федерации федерального собрания
2,минкомсвязь
3,россвязь
4,минтруд
5,фсо
6,росаккредитация
7,минфин
8,минстрой
9,росалкогольрегулирование
10,росфинмониторинг
11,минэкономразвития
12,минкультуры
13,минпромторг
14,минобороны
15,роснедра
16,роскомнадзор
17,фмба
18,минтранс
19,минюст
20,роструд
21,фнс
22,росприроднадзор
23,росгидромет
24,росводресурсы
25,росздравнадзор
26,гфс
27,росстат
28,фсин
29,минэнерго
30,мвд
31,мид
32,росимущество
33,фтс
34,гусп
35,росрезерв
36,росавтодор
37,свр
38,росархив
39,росрыболовство
40,фас
41,ространснадзор
42,роспотребнадзор
43,росгвардия
44,россотрудничество
45,федеральное казначейство
46,ростуризм
47,росжелдор
48,роспечать
49,росреестр
50,росмолодежь
51,фано
52,рослесхоз
53,росморречфлот
54,минздрав
55,управление делами президента
56,минкавказ
57,правительство ростовской области
58,правительство хабаровского края
59,правительство калининградской области
60,администрация приморского края
61,правительство московской области
62,правительство республики татарстан
63,правительство алтайского края
64,аппарат правительства республики башкортостан
65,правительство тульской области
66,правительство калужской области
67,правительство вологодской области
68,правительство ярославской области
69,администрация томской области
70,правительство тюменской области
71,правительство г. севастополь
72,правительство самарской области
73,гк росатом
74,банк
75,росатом
76,госкорпорация
77,государственная корпорация
78,росавиация
