regulation_project_id;duma_project_id
41856;1120411-6
19444;1037957-6
52772;501904-7
56104;434181-7
77794;775367-7
10115;602468-6
5994;797841-6
15499;826412-6
48307;276385-7
62214;529143-7
48927;137655-7
53386;181151-7
66760;419163-7
90988;941887-7
60492;745128-7
48292;745128-7
72548;381792-7
6676;654634-6
19477;993570-6
91084;895550-7
5366;1100266-6
6328;800660-6
7831;777087-6
11891;574370-6
11930;669214-6
17752;707551-6
18415;914182-6
18973;837877-6
20311;243990-7
25289;1060652-6
27343;1077524-6
32067;1003767-6
37540;968427-6
38800;1013586-6
39881;1031401-6
45634;270820-7
49743;374523-7
50391;296412-7
55731;229418-7
60897;350487-7
62756;497452-7
67512;497382-7
72970;549428-7
73459;376267-7
75292;544931-7
75850;483530-7
75939;769142-7
76564;587183-7
76757;484811-7
77529;1013075-7
80263;631451-7
81380;674572-7
81389;922560-7
81898;974103-7
82341;644109-7
82969;948530-7
84290;714894-7
85227;761375-7
85259;767187-7
85357;748744-7
